"date1","date","trans"
"01/14/2013",2013-01-14,380000
"01/14/2013",2013-01-14,-323850
"01/14/2013",2013-01-14,-15085
"01/14/2013",2013-01-14,-411.86
"01/14/2013",2013-01-14,-38862.48
"01/15/2013",2013-01-15,1245000
"01/15/2013",2013-01-15,-4430000
"01/16/2013",2013-01-16,1001000
"01/16/2013",2013-01-16,-413300
"01/16/2013",2013-01-16,-613.23
"01/16/2013",2013-01-16,-61928.01
"01/16/2013",2013-01-16,625.68
"01/17/2013",2013-01-17,572000
"01/17/2013",2013-01-17,-329450
"01/17/2013",2013-01-17,-438163.45
"01/17/2013",2013-01-17,-91469.66
"01/17/2013",2013-01-17,253031.44
